"SD00_FileName","SD01_AnaylsisLab","SD02_LabSwap","SD03_OriginalAnalyst","SD04_AnalysisDateOrig","SD05_NameOfSurvey_WFD","SD06_SampleDate","SD07_EAOldSiteCode","SD08_EAWIMSCode","SD09_InternalSampleID","SD10_AuditAnalyst","SD11_AuditDateBaseRec","SD12_AuditDateRepSub","SD13_Comments","SD14_WaterSampleVol_ml","SD15_SubSampleVol_ml","Tax_Qual","AnalysisType","dens","prop","QA01_TotAbund","QA02_DomTax","QA03_SharedTax","QA04_Final"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Cerataulina pelagica","Original","209.43952662721892","1","Pass","Pass","Pass","Pass"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Cerataulina pelagica","Baseplate","209.43952662721892","1","Pass","Pass","Pass","Pass"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Ceratium fusus","Replicate","38.461538461538467","1","Pass","Pass","Pass","Pass"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Ceratium horridum","Replicate","38.461538461538467","1","Pass","Pass","Pass","Pass"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Ceratoneis/Nitzschia closterium/longissima","Original","837.7581065088757","0.17500000000000002","Pass","Pass","Pass","Pass"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Ceratoneis/Nitzschia closterium/longissima","Baseplate","2094.3952662721895","0.17500000000000002","Pass","Pass","Pass","Pass"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Ceratoneis/Nitzschia closterium/longissima","Replicate","2094.3952662721895","0.17500000000000002","Pass","Pass","Pass","Pass"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Chaetoceros Phaeroceros","Original","269.23076923076923","1","Pass","Pass","Pass","Pass"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Chaetoceros Phaeroceros","Baseplate","269.23076923076923","1","Pass","Pass","Pass","Pass"
"AQC Calculation Sheet_25585 ILAQC.xls","APEM","Yes","LP","43840","SW","43750","DRH003P","50024580","25585","JT","43840","43843",NA,"250","26","Chaetoceros Phaeroceros","Replicate","269.23076923076923","1","Pass","Pass","Pass","Pass"
