"SD00_FileName","SD01_AnaylsisLab","SD02_LabSwap","SD03_OriginalAnalyst","SD04_AnalysisDateOrig","SD05_NameOfSurvey_WFD","SD06_SampleDate","SD07_EAOldSiteCode","SD08_EAWIMSCode","SD09_InternalSampleID","SD10_AuditAnalyst","SD11_AuditDateBaseRec","SD12_AuditDateRepSub","SD13_Comments","SD14_WaterSampleVol_ml","SD15_SubSampleVol_ml","Tax_Qual","AnalysisType","dens","prop","QA01_TotAbund","QA02_DomTax","QA03_SharedTax","QA04_Final"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Cerataulina pelagica","Original","38.461538461538467","1","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Cerataulina pelagica","Replicate","38.461538461538467","1","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Ceratium lineatum","Original","38.461538461538467","1","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Ceratium lineatum","Baseplate","38.461538461538467","1","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Ceratoneis/Nitzschia closterium/longissima","Original","9381.1454635108494","0.17500000000000002","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Ceratoneis/Nitzschia closterium/longissima","Baseplate","8290.3145956607495","0.17500000000000002","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Ceratoneis/Nitzschia closterium/longissima","Replicate","12653.638067061145","0.17500000000000002","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Chaetoceros Hyalochaetae","Replicate","436.33234714003947","0.17500000000000002","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Euglenophyceae indet","Original","5454.1543392504936","0.17500000000000002","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Euglenophyceae indet","Baseplate","6544.9852071005917","0.17500000000000002","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Euglenophyceae indet","Replicate","8944.8131163708094","0.17500000000000002","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Guinardia delicatula","Original","153.84615384615387","1","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Guinardia delicatula","Baseplate","153.84615384615387","1","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Guinardia delicatula","Replicate","230.76923076923077","1","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Gymnodinium_<20","Baseplate","1899.1967937569264","0.016719999999999999","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Gyrodinium_<20","Baseplate","218.16617357001974","0.17500000000000002","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Gyrodinium_20-50","Original","115.38461538461539","1","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Indet. armoured dinoflagellate_<20","Baseplate","436.33234714003947","0.17500000000000002","Pass","N/A","Pass","Pass"
"AQC Calculation Sheet_25099.xls","CEFAS","No","RB","43712","SW","43595","CAM003P","82518015","25099","JT","43710","43710",NA,"250","26","Indet. armoured dinoflagellate_20-50","Original","38.461538461538467","1","Pass","N/A","Pass","Pass"
